text,tokens,ner_tags
"The patient underwent Angioplasty after a series of tests including ECG, Lipid Profile, and ब्लड टेस्ट revealed atherosclerosis and तेज़ बुखार.","['The', 'patient', 'underwent', 'Angioplasty', 'after', 'a', 'series', 'of', 'tests', 'including', 'ECG', ',', 'Lipid', 'Profile', ',', 'and', 'ब्लड', 'टेस्ट', 'revealed', 'atherosclerosis', 'and', 'तेज़', 'बुखार', '.']","['O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TEST', 'O', 'B-TEST', 'I-TEST', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'B-CONDITION', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O']"
The patient underwent an emergency Angioplasty procedure due to severe chest pain and was prescribed 5mg Aspirin and 20mg Atorvastatin daily for high cholesterol and हृदय रोग management.,"['The', 'patient', 'underwent', 'an', 'emergency', 'Angioplasty', 'procedure', 'due', 'to', 'severe', 'chest', 'pain', 'and', 'was', 'prescribed', '5mg', 'Aspirin', 'and', '20mg', 'Atorvastatin', 'daily', 'for', 'high', 'cholesterol', 'and', 'हृदय', 'रोग', 'management', '.']","['O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O']"
"The patient underwent an emergency Angioplasty procedure due to severe Chest pain and तेज़ सांस लेने की समस्या, and was prescribed 5mg Aspirin and 200mL Oxygen therapy after a critical ECG report.","['The', 'patient', 'underwent', 'an', 'emergency', 'Angioplasty', 'procedure', 'due', 'to', 'severe', 'Chest', 'pain', 'and', 'तेज़', 'सांस', 'लेने', 'की', 'समस्या', 'and', 'was', 'prescribed', '5mg', 'Aspirin', 'and', '200mL', 'Oxygen', 'therapy', 'after', 'a', 'critical', 'ECG', 'report', '.']","['O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'I-SYMPTOM', 'I-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'B-MEDICATION', 'I-MEDICATION', 'O', 'O', 'O', 'B-TEST', 'O', 'O']"
The patient with stage 4 lung cancer underwent a CT scan and was prescribed 20mg Morphine for severe chest pain and तेज़ सांस लेने की समस्या after an emergency operation.,"['The', 'patient', 'with', 'stage 4', 'lung cancer', 'underwent', 'a', 'CT', 'scan', 'and', 'was', 'prescribed', '20mg', 'Morphine', 'for', 'severe', 'chest', 'pain', 'and', 'तेज़', 'सांस', 'लेने', 'की', 'समस्या', 'after', 'an', 'emergency', 'operation', '.']","['O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'I-SYMPTOM', 'I-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-PROCEDURE', 'O']"
The patient with severe तेज़ बुखार and सिर दर्द underwent an emergency MRI scan and was prescribed 100mg Ibuprofen twice daily for 5 days.,"['The', 'patient', 'with', 'severe', 'तेज़', 'बुखार', 'and', 'सिर', 'दर्द', 'underwent', 'an', 'emergency', 'MRI', 'scan', 'and', 'was', 'prescribed', '100mg', 'Ibuprofen', 'twice', 'daily', 'for', '5', 'days', '.']","['O', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O', 'O', 'B-DOSAGE', 'O', 'O']"
The patient with stage 2 डायबिटीज़ was advised to undergo an Angioplasty procedure after a critical myocardial infarction दिल का दौरा and was prescribed 20mg Atorvastatin and 5mg Amlodipine daily.,"['The', 'patient', 'with', 'stage 2', 'डायबिटीज़', 'was', 'advised', 'to', 'undergo', 'an', 'Angioplasty', 'procedure', 'after', 'a', 'critical', 'myocardial', 'infarction', 'दिल', 'का', 'दौरा', 'and', 'was', 'prescribed', '20mg', 'Atorvastatin', 'and', '5mg', 'Amlodipine', 'daily', '.']","['O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'B-CONDITION', 'I-CONDITION', 'I-CONDITION', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O']"
"The patient underwent Angioplasty due to severe chest pain and was prescribed 5mg Aspirin daily after a cardiac arrest, and her ECG and Blood Test reports were abnormal.","['The', 'patient', 'underwent', 'Angioplasty', 'due', 'to', 'severe', 'chest', 'pain', 'and', 'was', 'prescribed', '5mg', 'Aspirin', 'daily', 'after', 'a', 'cardiac', 'arrest', 'and', 'her', 'ECG', 'and', 'Blood', 'Test', 'reports', 'were', 'abnormal', '.']","['O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'B-TEST', 'O', 'B-TEST', 'I-TEST', 'O', 'O', 'O', 'O']"
The patient undergoing Angioplasty had a history of तेज़ बुखार and was prescribed 20mg of Aspirin daily after a Lipid Profile test showed abnormal results.,"['The', 'patient', 'undergoing', 'Angioplasty', 'had', 'a', 'history', 'of', 'तेज़', 'बुखार', 'and', 'was', 'prescribed', '20mg', 'of', 'Aspirin', 'daily', 'after', 'a', 'Lipid', 'Profile', 'test', 'showed', 'abnormal', 'results', '.']","['O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-DOSAGE', 'O', 'B-MEDICATION', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'I-TEST', 'O', 'O', 'O', 'O']"
The patient with chronic kidney disease underwent emergency डायलिसिस after an abnormal Creatinine test and was prescribed 20mg of Lisinopril for high blood pressure.,"['The', 'patient', 'with', 'chronic', 'kidney', 'disease', 'underwent', 'emergency', 'डायलिसिस', 'after', 'an', 'abnormal', 'Creatinine', 'test', 'and', 'was', 'prescribed', '20mg', 'of', 'Lisinopril', 'for', 'high', 'blood', 'pressure', '.']","['O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'I-CONDITION', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'O', 'O', 'B-DOSAGE', 'O', 'B-MEDICATION', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'I-SYMPTOM', 'O']"
The patient underwent an emergency Angioplasty procedure due to severe chest pain and was prescribed 5mg Aspirin daily after a positive Troponin test.,"['The', 'patient', 'underwent', 'an', 'emergency', 'Angioplasty', 'procedure', 'due', 'to', 'severe', 'chest', 'pain', 'and', 'was', 'prescribed', '5mg', 'Aspirin', 'daily', 'after', 'a', 'positive', 'Troponin', 'test', '.']","['O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'B-DOSAGE', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'O']"
The patient underwent an emergency Angioplasty due to severe Chest pain and was prescribed 5mg Aspirin and 10mg Atorvastatin daily after the ECG and Blood Test reports.,"['The', 'patient', 'underwent', 'an', 'emergency', 'Angioplasty', 'due', 'to', 'severe', 'Chest', 'pain', 'and', 'was', 'prescribed', '5mg', 'Aspirin', 'and', '10mg', 'Atorvastatin', 'daily', 'after', 'the', 'ECG', 'and', 'Blood', 'Test', 'reports', '.']","['O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O', 'O', 'B-TEST', 'O', 'B-TEST', 'I-TEST', 'O', 'O']"
"The patient underwent a Coronary Artery Bypass Grafting procedure due to severe Chest pain and तेज़ बुखार, and was prescribed 20mg Aspirin and 10mg Atorvastatin daily.","['The', 'patient', 'underwent', 'a', 'Coronary', 'Artery', 'Bypass', 'Grafting', 'procedure', 'due', 'to', 'severe', 'Chest', 'pain', 'and', 'तेज़', 'बुखार', 'and', 'was', 'prescribed', '20mg', 'Aspirin', 'and', '10mg', 'Atorvastatin', 'daily', '.']","['O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'I-PROCEDURE', 'I-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'B-MEDICATION', 'B-DOSAGE', 'O']"
Patient underwent Angioplasty due to severe chest pain and was prescribed 5mg Aspirin daily for 30 days after a positive Troponin test.,"['Patient', 'underwent', 'Angioplasty', 'due', 'to', 'severe', 'chest', 'pain', 'and', 'was', 'prescribed', '5mg', 'Aspirin', 'daily', 'for', '30', 'days', 'after', 'a', 'positive', 'Troponin', 'test', '.']","['O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O', 'B-DOSAGE', 'O', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'O']"
The patient underwent emergency Angioplasty due to a severe myocardial infarction and was prescribed 100mg Aspirin and 20mg Atorvastatin daily.,"['The', 'patient', 'underwent', 'emergency', 'Angioplasty', 'due', 'to', 'a', 'severe', 'myocardial', 'infarction', 'and', 'was', 'prescribed', '100mg', 'Aspirin', 'and', '20mg', 'Atorvastatin', 'daily', '.']","['O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O']"
The patient underwent an emergency Angioplasty procedure due to severe chest pain and was prescribed 100mg Aspirin and 200mg Metoprolol to control their high blood pressure.,"['The', 'patient', 'underwent', 'an', 'emergency', 'Angioplasty', 'procedure', 'due', 'to', 'severe', 'chest', 'pain', 'and', 'was', 'prescribed', '100mg', 'Aspirin', 'and', '200mg', 'Metoprolol', 'to', 'control', 'their', 'high', 'blood', 'pressure', '.']","['O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'I-CONDITION', 'O']"
The patient underwent an emergency Angioplasty due to severe तेज़ छाती दर्द and was prescribed 20mg Aspirin daily after a abnormal Troponin level report.,"['The', 'patient', 'underwent', 'an', 'emergency', 'Angioplasty', 'due', 'to', 'severe', 'तेज़', 'छाती', 'दर्द', 'and', 'was', 'prescribed', '20mg', 'Aspirin', 'daily', 'after', 'a', 'abnormal', 'Troponin', 'level', 'report', '.']","['O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'O']"
The patient underwent an emergency Angioplasty procedure due to severe Chest pain and was prescribed 100mg Aspirin and 20mg Atenolol to manage हृदय रोग.,"['The', 'patient', 'underwent', 'an', 'emergency', 'Angioplasty', 'procedure', 'due', 'to', 'severe', 'Chest', 'pain', 'and', 'was', 'prescribed', '100mg', 'Aspirin', 'and', '20mg', 'Atenolol', 'to', 'manage', 'हृदय', 'रोग', '.']","['O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O']"
"The patient underwent an emergency Angioplasty procedure due to severe chest pain and was prescribed 50mg Aspirin and 20mg Atorvastatin daily for 30 days, but had an allergy to तेज़ Penicillin.","['The', 'patient', 'underwent', 'an', 'emergency', 'Angioplasty', 'procedure', 'due', 'to', 'severe', 'chest', 'pain', 'and', 'was', 'prescribed', '50mg', 'Aspirin', 'and', '20mg', 'Atorvastatin', 'daily', 'for', '30', 'days', ',', 'but', 'had', 'an', 'allergy', 'to', 'तेज़', 'Penicillin']","['O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ALLERGEN', 'I-ALLERGEN']"
The patient underwent an emergency Angioplasty procedure due to severe chest pain and was prescribed 100mg Aspirin and 20mg Atorvastatin daily after a Lipid Profile test showed high levels of bad cholesterol.,"['The', 'patient', 'underwent', 'an', 'emergency', 'Angioplasty', 'procedure', 'due', 'to', 'severe', 'chest', 'pain', 'and', 'was', 'prescribed', '100mg', 'Aspirin', 'and', '20mg', 'Atorvastatin', 'daily', 'after', 'a', 'Lipid', 'Profile', 'test', 'showed', 'high', 'levels', 'of', 'bad', 'cholesterol', '.']","['O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'B-MEDICATION', 'B-DOSAGE', 'O', 'O', 'B-TEST', 'I-TEST', 'I-TEST', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The patient underwent an emergency appendectomy due to severe abdominal pain and तेज़ बुखार, and was prescribed 500mg Ciprofloxacin IV every 12 hours.","['The', 'patient', 'underwent', 'an', 'emergency', 'appendectomy', 'due', 'to', 'severe', 'abdominal', 'pain', 'and', 'तेज़', 'बुखार', ',', 'and', 'was', 'prescribed', '500mg', 'Ciprofloxacin', 'IV', 'every', '12', 'hours', '.']","['O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O', 'B-DOSAGE', 'I-DOSAGE', 'O']"
Patient was diagnosed with stage 4 तेज़ बुखार and prescribed 200mL of Paracetamol syrup after an abnormal Lipid Profile and ECG report.,"['Patient', 'was', 'diagnosed', 'with', 'stage 4', 'तेज़', 'बुखार', 'and', 'prescribed', '200mL', 'of', 'Paracetamol', 'syrup', 'after', 'an', 'abnormal', 'Lipid', 'Profile', 'and', 'ECG', 'report', '.']","['O', 'O', 'O', 'O', 'B-CONDITION', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'B-DOSAGE', 'O', 'B-MEDICATION', 'O', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'B-TEST', 'O', 'O']"
"Patient was diagnosed with acute myocardial infarction and underwent emergency Angioplasty after an abnormal Troponin T test, and was prescribed 100mg Aspirin and 20mg Atorvastatin daily.","['Patient', 'was', 'diagnosed', 'with', 'acute', 'myocardial', 'infarction', 'and', 'underwent', 'emergency', 'Angioplasty', 'after', 'an', 'abnormal', 'Troponin', 'T', 'test', ',', 'and', 'was', 'prescribed', '100mg', 'Aspirin', 'and', '20mg', 'Atorvastatin', 'daily', '.']","['O', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'I-CONDITION', 'O', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'I-TEST', 'O', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'B-MEDICATION', 'B-DOSAGE', 'O']"
A patient with chronic kidney disease and मधुमेह underwent a Coronary Artery Bypass Grafting procedure and was prescribed 5mg Amlodipine twice daily after a लिपिड प्रोफाइल test.,"['A', 'patient', 'with', 'chronic', 'kidney', 'disease', 'and', 'मधुमेह', 'underwent', 'a', 'Coronary', 'Artery', 'Bypass', 'Grafting', 'procedure', 'and', 'was', 'prescribed', '5mg', 'Amlodipine', 'twice', 'daily', 'after', 'a', 'लिपिड', 'प्रोफाइल', 'test', '.']","['O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'I-CONDITION', 'O', 'B-CONDITION', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'I-PROCEDURE', 'I-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'B-DOSAGE', 'B-DOSAGE', 'O', 'O', 'B-TEST', 'I-TEST', 'I-TEST', 'O']"
"The patient was diagnosed with stage 4 लिवर सिरोसिस and prescribed 25mg of Spiriva after an abnormal लिपिड प्रोफाइल test, but had an allergy to Penicillin.","['The', 'patient', 'was', 'diagnosed', 'with', 'stage 4', 'लिवर सिरोसिस', 'and', 'prescribed', '25mg', 'of', 'Spiriva', 'after', 'an', 'abnormal', 'लिपिड प्रोफाइल', 'test', 'but', 'had', 'an', 'allergy', 'to', 'Penicillin', '.']","['O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'B-DOSAGE', 'O', 'B-MEDICATION', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'O', 'O', 'O', 'O', 'B-ALLERGEN', 'O']"
The patient was diagnosed with stage 2 तेज़ बुखार and acute respiratory distress syndrome after a chest X-ray and prescribed 200mg Ceftriaxone twice daily for 7 days.,"['The', 'patient', 'was', 'diagnosed', 'with', 'stage 2', 'तेज़', 'बुखार', 'and', 'acute', 'respiratory', 'distress', 'syndrome', 'after', 'a', 'chest', 'X-ray', 'and', 'prescribed', '200mg', 'Ceftriaxone', 'twice', 'daily', 'for', '7', 'days', '.']","['O', 'O', 'O', 'O', 'O', 'B-CONDITION', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'B-CONDITION', 'I-CONDITION', 'I-CONDITION', 'I-CONDITION', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'B-DOSAGE', 'I-DOSAGE', 'O', 'B-DOSAGE', 'I-DOSAGE', 'O']"
The patient with तेज़ बुखार and Chest pain underwent an emergency Angioplasty procedure after a critical ECG report and was prescribed 200mg Aspirin and 5mg Atorvastatin.,"['The', 'patient', 'with', 'तेज़', 'बुखार', 'and', 'Chest', 'pain', 'underwent', 'an', 'emergency', 'Angioplasty', 'procedure', 'after', 'a', 'critical', 'ECG', 'report', 'and', 'was', 'prescribed', '200mg', 'Aspirin', 'and', '5mg', 'Atorvastatin', '.']","['O', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O']"
The patient with chronic kidney disease underwent emergency डायलिसिस and was given 200mL of Normal Saline after an abnormal Creatinine level was detected in the ब्लड टेस्ट report.,"['The', 'patient', 'with', 'chronic', 'kidney', 'disease', 'underwent', 'emergency', 'डायलिसिस', 'and', 'was', 'given', '200mL', 'of', 'Normal', 'Saline', 'after', 'an', 'abnormal', 'Creatinine', 'level', 'was', 'detected', 'in', 'the', 'ब्लड', 'टेस्ट', 'report', '.']","['O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'I-CONDITION', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'B-DOSAGE', 'O', 'B-MEDICATION', 'I-MEDICATION', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'O']"
The patient underwent an emergency Angioplasty procedure due to a severe heart attack and was prescribed 100mg Aspirin and 20mg Atorvastatin daily for the next 30 days.,"['The', 'patient', 'underwent', 'an', 'emergency', 'Angioplasty', 'procedure', 'due', 'to', 'a', 'severe', 'heart', 'attack', 'and', 'was', 'prescribed', '100mg', 'Aspirin', 'and', '20mg', 'Atorvastatin', 'daily', 'for', 'the', 'next', '30', 'days', '.']","['O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O', 'O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'B-DOSAGE', 'B-MEDICATION', 'O', 'O', 'O', 'O', 'B-DOSAGE', 'O', 'O']"
The patient with acute myocardial infarction underwent emergency Angioplasty and was prescribed 5mg Aspirin twice daily after a chest X-ray and ECG report showed abnormal results.,"['The', 'patient', 'with', 'acute', 'myocardial', 'infarction', 'underwent', 'emergency', 'Angioplasty', 'and', 'was', 'prescribed', '5mg', 'Aspirin', 'twice', 'daily', 'after', 'a', 'chest', 'X-ray', 'and', 'ECG', 'report', 'showed', 'abnormal', 'results', '.']","['O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'I-CONDITION', 'O', 'O', 'B-PROCEDURE', 'O', 'O', 'O', 'B-DOSAGE', 'B-MEDICATION', 'B-DOSAGE', 'B-DOSAGE', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'B-TEST', 'O', 'O', 'O', 'O', 'O']"
"The patient with stage 2 मधुमेह was prescribed 10 units of Insulin after a high blood sugar reading and abnormal Lipid Profile test, and was advised to undergo an Angioplasty procedure.","['The', 'patient', 'with', 'stage 2', 'मधुमेह', 'was', 'prescribed', '10 units', 'of', 'Insulin', 'after', 'a', 'high', 'blood', 'sugar', 'reading', 'and', 'abnormal', 'Lipid Profile', 'test', ',', 'and', 'was', 'advised', 'to', 'undergo', 'an', 'Angioplasty', 'procedure', '.']","['O', 'O', 'O', 'B-CONDITION', 'I-CONDITION', 'O', 'O', 'B-DOSAGE', 'O', 'B-MEDICATION', 'O', 'O', 'B-SYMPTOM', 'I-SYMPTOM', 'I-SYMPTOM', 'O', 'O', 'O', 'B-TEST', 'I-TEST', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PROCEDURE', 'I-PROCEDURE', 'O']"
